Recipe ID;Recipe Name;Recipe Photo;Total Reviews;Author;Prep Time;Cook Time;Total Time;Ingredients;Total Ingredients;Description
7013;Mocha Chocolate Chip Banana Muffins Recipe ;https://images.media-allrecipes.com/userphotos/560x315/1334257.jpg;579;Shelley Ross;10 m;25 m;35 m;margarine,white sugar,egg,banana,coffee,water,vanilla,flour,salt,baking powder,baking soda,chocolate;12;Preheat oven to 350 degrees F (175 degrees C).**Blend butter or margarine, sugar, egg, banana, dissolved coffee, and vanilla in food processor for 2 minutes. Add flour, salt, baking powder, and soda, and blend just until flour disappears. Add chocolate chips and mix in with wooden spoon. Spoon mixture into 15 to 18 paper-lined muffin cups.**Bake for 25 minutes.  Cool on wire racks.**
7015;Maple Muffins Recipe ;https://images.media-allrecipes.com/userphotos/560x315/6097687.jpg;43;Jan Bittner;10 m;20 m;30 m;flour,white sugar,baking powder,salt,shortening,oat,egg,milk,maple syrup;9;Preheat oven to 400 degrees F (205 degrees C).  Grease the cups of a 12-cup muffin pan.**Sift together flour, sugar, baking powder and salt.   Cut in shortening until mixture resembles coarse crumbs.  Stir in oats.  Add egg, milk, and syrup.  Stir only until dry ingredients are moistened.  Fill greased muffin tins 3/4 full.**Bake for 18 to 20 minutes.  Remove from oven, and let stand a few minutes before removing muffins from the pan.**
7016;French Toast I Recipe ;https://images.media-allrecipes.com/userphotos/560x315/234562.jpg;1k;Jan Bittner;5 m;15 m;20 m;bread,egg,milk,cinnamon,nutmeg,vanilla,salt;7;Beat together egg, milk, salt, desired spices and vanilla.**Heat a lightly oiled griddle or skillet over medium-high heat.**Dunk each slice of bread in egg mixture, soaking both sides.  Place in pan, and cook on both sides until golden.  Serve hot.**
7019;Fudgy Chocolate Chip Muffins Recipe ;https://images.media-allrecipes.com/userphotos/560x315/4467940.jpg;159;LITSTER5;10 m;25 m;35 m;applesauce,margarine,white sugar,brown sugar,egg,vanilla,flour,cocoa powder,baking soda,cinnamon,chocolate,sugar;12;'Preheat oven to 350 degrees F (175 degrees C). Line muffin cups (2-1/2 inches in diameter) with paper bake cups.**In large mixer bowl, beat butter, sugar, brown sugar, egg, and vanilla until well blended. Add applesauce, blend well.**In a separate bowl, stir together flour, cocoa, baking soda, and cinnamon, if desired. Add to butter mixture, blending well. Stir in chocolate chips. Fill muffin cups 3/4 full with batter.**Bake at 350 degrees F (175 degrees C) for 22 to 26 minutes or until wooden pick inserted in center comes out almost clean. Cool slightly in pan on wire rack. Sprinkle muffin tops with confectioners'' sugar, if desired. Serve warm.**'
7037;Angel Biscuit Rolls Recipe ;https://images.media-allrecipes.com/userphotos/250x250/184711.jpg;63;Laura;10 m;20 m;30 m;flour,white sugar,baking powder,baking soda,salt,shortening,yeast,water,buttermilk,butter;10;Dissolve yeast in warm water.**Sift together flour, sugar, soda, baking powder, and salt. Add buttermilk and dissolved yeast. Add shortening and stir. Store dough, covered, in the fridge until ready to use.**Roll out on a lightly floured surface or shape into balls--these do not need to rise. Brush tops of biscuits with melted butter.**Bake at 400 degrees F (205 degrees C) for 15-20 minutes.**
7060;Golly Gee Gluten;https://images.media-allrecipes.com/userphotos/560x315/5187091.jpg;12;Kevin Ryan;10 m;15 m;25 m;egg,apple juice,butter,flour,tapioca,flour,cinnamon,nutmeg,baking powder,salt;10;In a medium mixing bowl, beat the egg with the apple juice and melted butter. Add the remaining ingredients and stir.**Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake. Brown on both sides and serve hot. This batter must be used right away and can not sit and wait.**
7067;Lemon Poppy Seed Muffins I Recipe ;https://images.media-allrecipes.com/userphotos/560x315/1618431.jpg;167;Karen Gibson;20 m;20 m;40 m;flour,white sugar,poppy,baking powder,baking soda,salt,egg,yogurt,vegetable oil,lemon,lemon juice,white sugar;12;Preheat oven to 400 degrees F (205 degrees C). Lightly grease a muffin tin.**Combine the flour, 3/4 cup white sugar, poppy seeds, baking powder, baking soda and salt.**In a separate bowl mix the eggs, yogurt, vegetable oil and lemon zest. Blend well and pour over the flour mixture. Mix until just combined. Do no overmix!**Spoon batter evenly between the prepared muffin cups. Bake at 400 degrees F (205 degrees C) for 20 minutes.**Combine the lemon juice with the remaining 3 tablespoons white sugar. Stir into sugar dissolves.**Once the muffins are baked pierce the tops several times with a toothpick. Slowly pour about 1 tablespoon of the lemon juice and sugar mixture over the tops of each muffin. Let muffins cool in pans for 10 minutes before removing them from the tin.**
7068;Lemon Poppy Seed Muffins II Recipe ;https://images.media-allrecipes.com/userphotos/250x250/90970.jpg;63;Karen Gibson;13 m;17 m;30 m;milk,vegetable oil,yogurt,egg,flour,white sugar,poppy,lemon,lemon,baking powder,baking soda,salt,sugar,lemon juice;14;'Preheat oven to 400 degrees F (205 degrees C). Grease the bottoms only of 12 muffin cups.**Beat the milk, oil, lemon yogurt and egg together. Stir in the flour, white sugar, poppy seeds, lemon zest, lemon oil, baking powder, baking soda and salt. Mix until just combined. Divide batter evenly between muffin cups.**Bake at 400 degrees F (205 degrees C). For 16 to 18 minutes or until golden brown. Drizzle with glaze immediately and let cool on rocks.**To Make Glaze: Stir the confectioners'' sugar with the lemon juice and mix until smooth and of drizzling consistency. Add drops of milk if thinning is necessary.**'
7086;Basic British Scones Recipe ;https://images.media-allrecipes.com/userphotos/250x250/661754.jpg;224;Angela Martini;15 m;10 m;25 m;flour,cream,baking soda,salt,margarine,white sugar,milk,milk;8;Preheat oven to 425 degrees F (220 degrees C). Line a baking sheet with parchment paper.**Sift the flour, cream of tartar, baking soda and salt into a bowl.**Rub in the butter until the mixture resembles fine breadcrumbs. Stir in the sugar and enough milk to mix to a soft dough.**Turn onto a floured surface, knead lightly and roll out to a 3/4-inch thickness. Cut into 2-inch rounds and place on the prepared baking sheet. Brush with milk to glaze.**Bake at 425 degrees F (220 degrees C) for 10 minutes then cool on a wire rack. Serve with butter or clotted cream and jam.**
7108;Apple Bran Cheddar Muffins Recipe ;https://images.media-allrecipes.com/images/79591.png;18;Holly;15 m;20 m;35 m;cereal,milk,apple,vegetable oil,egg,flour,baking powder,salt,cinnamon,brown sugar,cheddar;11;Preheat oven to 375 degrees F (190 degrees C). Grease one 12-cup muffin tin or line with paper liners.**Combine the bran cereal, milk and apples. Mix well. Beat in the vegetable oil and egg.**Combine the flour, baking powder, salt, cinnamon and brown sugar. Make a well in the center and stir in the wet mixture. Add the shredded cheese and mix enough until just moistened. Scoop the batter into the prepared pans.**Bake at 375 degrees F (190 degrees C) for 15 to 20 minutes.**
